"","source","target","value"
"1",0,29,3
"2",1,3,2
"3",1,8,2
"4",1,11,1
"5",3,7,3
"6",3,19,4
"7",3,26,0
"8",3,52,1
"9",3,67,1
"10",3,71,0
"11",3,75,4
"12",4,19,1
"13",4,61,0
"14",4,65,2
"15",4,67,4
"16",4,75,1
"17",6,40,2
"18",6,42,4
"19",7,73,0
"20",8,36,2
"21",8,55,4
"22",9,27,1
"23",9,47,1
"24",9,55,2
"25",11,0,3
"26",11,22,3
"27",11,31,4
"28",11,49,2
"29",13,57,0
"30",13,59,2
"31",14,22,0
"32",14,23,3
"33",14,31,1
"34",14,33,4
"35",14,49,1
"36",14,64,3
"37",15,34,1
"38",15,59,3
"39",16,38,4
"40",17,8,4
"41",17,11,1
"42",18,5,4
"43",18,45,2
"44",18,46,2
"45",18,53,0
"46",18,70,4
"47",18,81,3
"48",19,46,2
"49",19,53,4
"50",19,70,0
"51",19,81,1
"52",20,35,3
"53",21,26,3
"54",21,52,2
"55",21,58,4
"56",21,67,4
"57",21,71,3
"58",22,11,3
"59",22,69,4
"60",24,62,4
"61",26,18,4
"62",26,79,0
"63",27,30,1
"64",27,56,4
"65",28,20,1
"66",28,48,3
"67",28,80,2
"68",30,83,2
"69",31,69,1
"70",32,79,4
"71",33,26,4
"72",33,61,1
"73",33,65,3
"74",33,67,3
"75",33,71,4
"76",33,75,0
"77",34,43,4
"78",34,48,4
"79",34,80,3
"80",36,23,3
"81",36,31,1
"82",36,33,4
"83",36,49,1
"84",36,64,3
"85",37,31,2
"86",37,33,1
"87",37,43,4
"88",37,49,4
"89",37,63,3
"90",37,64,0
"91",40,52,1
"92",40,67,1
"93",40,71,0
"94",40,75,4
"95",41,47,2
"96",41,55,1
"97",45,33,3
"98",45,49,2
"99",45,64,2
"100",47,43,3
"101",47,63,2
"102",47,64,1
"103",48,59,4
"104",51,68,3
"105",53,72,2
"106",54,42,2
"107",55,51,1
"108",55,54,1
"109",55,56,4
"110",55,60,1
"111",57,63,1
"112",57,64,4
"113",59,46,4
"114",59,53,2
"115",60,53,2
"116",60,70,2
"117",60,81,1
"118",61,55,3
"119",62,80,1
"120",63,64,4
"121",65,54,2
"122",65,60,0
"123",66,67,2
"124",66,71,1
"125",67,70,4
"126",67,81,3
"127",68,56,3
"128",68,60,2
"129",71,59,2
"130",75,65,2
"131",75,67,4
"132",75,75,1
"133",77,64,3
"134",79,75,3
"135",81,71,1
"136",81,75,3
"137",84,81,1
"138",85,75,4
"139",90,77,2
